row_number;col_a;col_b;ingestion_action_raw;ingestion_action;target_metric_or_metrics_raw;target_metric_or_metrics;source_system_override;import_as_source;layer;note
194;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Василий;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
195;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Ксения;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
196;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Иван;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
197;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Никола;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
198;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Сергей;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
199;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Алекс;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
200;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Антон;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
201;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Александра;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
202;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Вильдан;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
203;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Вася Б;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
204;Процент ОГ со смертями на фельдшера (по таблице ОКК);Процент ОГ со смертями на фельдшера (по таблице ОКК);defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
205;Процент ОГ со смертями на фельдшера (по таблице ОКК);Серж;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
206;Процент ОГ со смертями на фельдшера (по таблице ОКК);Ксюша;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
207;Процент ОГ со смертями на фельдшера (по таблице ОКК);Никола;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
208;Процент ОГ со смертями на фельдшера (по таблице ОКК);Алекс;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
209;Процент ОГ со смертями на фельдшера (по таблице ОКК);Вася Б;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
210;Процент ОГ со смертями на фельдшера (по таблице ОКК);Ваня;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
211;Процент ОГ со смертями на фельдшера (по таблице ОКК);Дима Лещук;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
212;Процент ОГ со смертями на фельдшера (по таблице ОКК);Сёма;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
213;Процент ОГ со смертями на фельдшера (по таблице ОКК);Женя;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
214;Процент ОГ со смертями на фельдшера (по таблице ОКК);Антон;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
215;Процент ОГ со смертями на фельдшера (по таблице ОКК);Илья;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
216;Процент ОГ со смертями на фельдшера (по таблице ОКК);Андрей М;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
217;Процент ОГ со смертями на фельдшера (по таблице ОКК);Алина;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
218;Процент ОГ со смертями на фельдшера (по таблице ОКК);Альбина;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
219;Процент ОГ со смертями на фельдшера (по таблице ОКК);Андрей;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
220;Процент ОГ со смертями на фельдшера (по таблице ОКК);Артём;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
221;Процент ОГ со смертями на фельдшера (по таблице ОКК);Вася;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
222;Процент ОГ со смертями на фельдшера (по таблице ОКК);Вильдан;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
223;Процент ОГ со смертями на фельдшера (по таблице ОКК);Гамаз;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
224;Процент ОГ со смертями на фельдшера (по таблице ОКК);Жора;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
225;Процент ОГ со смертями на фельдшера (по таблице ОКК);Глеб;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
226;Процент ОГ со смертями на фельдшера (по таблице ОКК);Олег;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
227;Процент ОГ со смертями на фельдшера (по таблице ОКК);Полина;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
228;Процент ОГ со смертями на фельдшера (по таблице ОКК);Тёма;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
229;Процент ОГ, где зрители вышли за фельдшером/ выжили;Процент ОГ, где зрители вышли за фельдшером/ выжили;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
230;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
231;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Серж;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
232;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Ксюша;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
233;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Никола;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
234;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Алекс;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
235;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вася Б;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
236;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Ваня;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
237;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Дима Лещук;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
238;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Сёма;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
239;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Женя;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
240;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Антон;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
241;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Илья;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
242;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Андрей М;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
243;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Алина;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
244;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Альбина;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
245;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Андрей;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
246;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Артём;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
247;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вася;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
248;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вильдан;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
249;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Гамаз;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
250;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Жора;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
251;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Глеб;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
252;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Олег;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
253;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Полина;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
254;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Тёма;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
