metric_name,business_unit,show_scope,partner_scope,channel_scope,frequency,source_role,source_system,where_from,how_counted,reference_doc,status_note,source_row_ref
Cost article - Мебель и предметы интерьера,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Представительские,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Представительские,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Представительские,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Представительские,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Представительские,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Проживание,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Проживание,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Проживание,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Проживание,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Проживание,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,35
Cost article - Реквизит/костюмы,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Такси,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Такси,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Такси,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Такси,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Такси,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Техника,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Техника,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Техника,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Техника,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Техника,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Уборка,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
